RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
36,Lewis Bond,Boston College,7th-FA,5SR,510 €,190,4.59 (1.52),9 7/8,29 1/4,72 5/8,22.90
37,Barion Brown,LSU,7th-FA,4SR,5110,177,4.40 (1.58),,32,75 3/4,22.36
38,Anthony Smith,East Carolina,7th-FA,6SR,6022,197,4.40 (1.49),8 7/8,31 7/8,77,24.15
39,Chase Roberts,BYL,7th-FA,5SR,6032,204,4.56 (1.60),9 3/4,31 5/8,77 1/4,25.25
40,Emmanuel Henderson Jr.,Kansas,7th-FA,4SR,6010,185,4.44 (1.56),8 1/2,31,77 1/8,22.50
41,Jalen Walthall,Incarnate Word,7th-FA,5SR,6010,197,4.53 (1.56),9 1/8,31 3/8,77 7/8,23.52
42,Dillon Bell,Georgia,FA,4SR,6006,209,4.50 (1.58),9 1/2,31 1/4,76,22.46
43,Tyren Montgomery,John Carroll (Ohio),FA,7SR,5114,204,4.59 (1.57),8 7/8,32 3/8,77 5/8,24.81
44,Eric Mcalister,TCU,FA,5SR,6035,210,4.53 (1.57),9 7/8,32 3/4,77 5/8,23.42
45,Eric Rivers,Georgia Tech,FA,5SR,5101,176,4.35 (1.52),9,30 1/2,74 7/8,23.60
46,Cj Daniels,Miami,FA,6SR,6022,200,4.58 (1.61),9 1/4,32 1/2,78 7/8,24.30
47,Donaven Mcculley,Michigan,FA,5SR,6044,209,4.76 (1.65),10 1/4,32 5/8,80 1/8,23.27
48,Aaron Anderson,LSU,FA,4JR,5080,198,4.58 (1.60),9 1/4,29 3/4,72 3/8,23.39
49,Will Pauling,Notre Dame,FA,5SR,5094,183,4.46 (1.61),9 5/8,29 5/8,72,23.14
50,Chris Hilton Jr.,LSU,FA,5SR,6000,187,4.40 (1.57),9 1/4,32 3/8,79 5/8,23.53
51,Caullin Lacy,Louisville,FA,6SR,5091,183,4.55 (1.54),9 7/8,29 3/8,74 1/4,24.33
52,Devonte Ross,Penn State,FA,5SR,5091,162,4.45 (1.62),9,30 3/8,71 5/8,23.62
53,Dt Sheffield,Rutgers,FA,6SR,5072,175,4.43 (1.52),8 3/4,30 1/2,72 1/8,25.16
54,Romello Brinson,SMU,FA,5SR,6010,177,4.60 (163),10 1/4,32 3/4,77 3/4,24.25
55,Trebor Pena,Penn State,FA,6SR,5100,187,4.52 (1.56),9 1/4,29 1/4,71,24.17
